ID,Name,Date_of_birth,Age,Gender,Race,Location,country,edu,No_Connection,Year_of_Exp,No_of_Job_changed,No_of_titles,Current_Title,Title_Level,Previous_Title1,Title_Level1,Previous_Title2,Title_Level2,Previous_Title3,Title_Level3,Previous_Title4,Title_Level4,Previous_Title5,Title_Level5,Current_Salary,Fortune500,SuccessScore
2,Elene Romaguera,2/22/71,46,Male,African American,NV,USA,Doctorate,307,13,5,3,Sr Quality Engineer,4,Senior System Administrator,4,Research Intern,1,NA,NA,NA,NA,NA,NA,193503,0,4492.896283
3,Genevive Bashirian,10/19/77,40,Female,Hispanic,OK,USA,Doctorate,387,7,1,2,Sr. Staff Engineer,4,Senior developer,4,NA,NA,NA,NA,NA,NA,NA,NA,194800,0,5166.830725
4,Monique Ledner,3/18/67,50,Female,African American,UT,USA,Graduate,330,26,10,6,Sr. Director of Program Management,5,Director of User Experience,5,Internal Help Desk,1,Business Analytics Intern,1,Summer Intern,1,Student Worker,1,203315,1,4133.46458
5,Denae Will,9/29/61,56,Male,African American,KS,USA,Associate,364,36,10,4,Devops team lead,3,Software analyst,3,Operations Analyst,3,HR Analyst,3,NA,NA,NA,NA,187565,0,3690.593375
6,Irwin Aufderhar,4/22/62,55,Male,Asian,ME,USA,Undergraduate,306,33,9,5,Senior UX Engineer,4,Senior devops,4,Application Development Analyst,3,information technology analyst,3,Product Analyst,3,NA,NA,193757,0,3757.695073
7,Lavon Hermiston,2/26/68,49,Male,African American,IA,USA,Doctorate,346,16,1,5,Sr. Engineering Manager,4,Senior Ruby Developer,4,Software Engineer Intern,1,Web Development Intern,1,Developer Intern,1,NA,NA,189911,0,4217.821
8,Darius Schuster,9/2/68,49,Male,Native American,MT,USA,Associate,448,29,2,4,Senior Business Intelligence Developer,4,Senior Sales Consultant,4,HR Analyst,3,System Analyst,3,NA,NA,NA,NA,137714,1,4217.821
9,Chris McGlynn,7/4/65,52,Female,African American,NY,USA,Graduate,429,28,11,5,Senior Mechanical Engineer,4,Senior UI Developer,4,Business Analytics Intern,1,Developer Intern,1,Summer Intern,1,NA,NA,205703,0,3974.485173
10,Jayme Paucek,10/6/80,37,Female,Hispanic,ID,USA,Undergraduate,469,15,5,5,SR. Software Consultant,4,Senior IT Analyst,4,Second Line Support Analyst,3,Database Analyst,3,Product Analyst,3,NA,NA,276704,1,5585.762946
11,Kiesha Koelpin,1/14/63,54,Male,Asian,OH,USA,Doctorate,495,21,1,4,Senior UI Developer,4,Senior UX Engineer,4,Internal Help Desk,1,Web Development Intern,1,NA,NA,NA,NA,191998,0,3827.282019
12,Kristal Bernhard,3/2/82,35,Male,African American,OR,USA,Associate,318,15,3,4,Business systems analyst,3,Software Business Operations Analyst,3,Developer / System Analyst,3,Programmer Analyst I,3,NA,NA,NA,NA,197174,1,5904.9494
13,Demetrius Klocko,9/14/72,45,Female,Caucasian,VT,USA,Doctorate,492,12,5,5,Director of Business Development,5,Senior IT Analyst,4,Developer Intern,1,Software Engineer Intern,1,Summer Intern,1,NA,NA,208731,0,4592.738422
14,Marlon Rowe,9/7/82,35,Male,African American,MT,USA,Associate,343,15,1,3,Senior - Risk Assurance,4,IT Analyst,3,System Analyst III,3,NA,NA,NA,NA,NA,NA,190849,1,5904.9494
15,Lorinda Huel,2/6/75,42,Male,Hispanic,NM,USA,Associate,426,22,1,5,Sr Business Analyst,4,Senior Android Developer,4,Data Analyst,3,Developer / System Analyst,3,Data analyst,3,NA,NA,200392,0,4920.791167
16,Percy Turner,3/24/90,27,Male,Caucasian,OK,USA,Associate,473,7,1,3,Software Engineer / Team Lead,3,Second Line Support Analyst,3,Software Business Operations Analyst,3,NA,NA,NA,NA,NA,NA,67279,0,7654.564037
17,Natasha Legros,6/27/59,58,Male,Hispanic,RI,USA,Associate,380,38,10,4,Sr Business Analyst,4,Senior Solutions Engineer,4,Programmer Analyst III,3,Security Analyst,3,NA,NA,NA,NA,192542,0,3563.331534
18,Jarvis Welch,2/7/76,41,Female,Hispanic,NM,USA,Associate,422,21,1,5,Senior developer,4,Data analyst,3,Programmer/Analyst,3,Application Development Analyst,3,Operations Analyst,3,NA,NA,186830,0,5040.810463
19,Lesley Murazik,2/17/69,48,Male,Native American,NH,USA,Doctorate,483,15,5,5,Senior IT Analyst,4,Senior Full Stack Developer,4,Software Engineer Intern,1,Research Intern,1,Data Science Intern,1,NA,NA,203100,1,4305.692271
20,Irmgard Grimes,11/30/78,38,Female,Hispanic,KY,USA,Doctorate,411,5,3,1,Senior Security Researcher,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192874,1,5438.769184
21,Mayola Heathcote,1/3/79,38,Female,Asian,UT,USA,Undergraduate,400,16,1,4,Senior Data Analyst,4,Sr. Staff Engineer,4,information technology analyst,3,Online Marketing Analyst,3,NA,NA,NA,NA,288553,0,5438.769184
22,Clarinda Stiedemann,6/26/60,57,Female,Caucasian,MS,USA,Undergraduate,435,35,6,6,Senior Interactive Developer,4,System Analyst,3,Product Development Business Analyst,3,Product Analyst,3,Business systems analyst,3,Dev Team leader,3,286108,0,3625.846123
